session_id	live	track	session_level	session_title	session_abstract	prereq	tags	speaker_id	speaker_name	room	preso	youtube_url	home_featured	session_screenshot	livestream														
209	Y	Chrome	Advanced	Jank Busters: Building Performant Web Apps	"Building high-performance web apps is hard! When animations hitch, mouse hover effects lag, or page scrolls stutter, we call it jank. This talk is about hunting jank down and exterminating it.

Sources of jank in web apps include garbage collector runs, long image decodes, heavy paint times for DOM elements, JavaScript-heavy input handlers, unexpected WebKit layer invalidations, and more -- all getting in the way of the 60FPS every modern app developer should aim for. In this talk we'll go through a few techniques to ensure your web app has smooth animations, transitions, and scrolling. We'll cover ways to use Chrome’s Developer Tools to root out jank, as well as more advanced Chrome graphics profiling tools the intrepid can use to dig into what’s going on behind the scenes. We’ll even peek gingerly under the covers of WebKit to explain why that pesky hitch occurs in the first place."		Performance, Graphics, Animations / CSS animations, App development, Jank, Smoothness, Dev Tools	2194, 2175		4		http://www.youtube.com/watch?v=hAzhayTnhEI&feature=plcp			3Mnz_QaB31Q														
210	Y	Chrome	Intermediate	GRITS: PvP Gaming with HTML5	"This session will present GRITS, a player vs. player shooter game, built entirely using Google technologies. In this talk, we'll walk through building an HTML5 canvas engine, serving the content, networking using Websockets, using NodeJS, social integration and more.

Attendees to this session will walk away with a big-picture view of all the Google technologies that are relevant to web gaming, a deep understanding of how to get started with them, and have the ability to see them live, in action with the source code to the published game."		Google Chrome, Google App Engine, Google Wallet, Google Plus, Chrome Web Store, HTML5, HTML5- WebSockets, HTML5- Canvas rendering, HTML5- Box2D, HTML5- Web Audio	2173		4		http://www.youtube.com/watch?v=Prkyd5n0P7k&feature=plcp			tPtJd6AzU8c														
211	Y	Chrome	Intermediate	Putting the App Back into Web App - Web Programming with Dart	Do you want to build blazingly fast applications with beautiful graphics and offline support?  Would you like to run those apps anywhere on the open web?  Would you like to develop those apps in a language that supports modular large-scale development while keeping the lightweight feel of a scripting language? This session will show you how to use the Dart programming language to develop the next generation of amazing applications for the open web.	"<br>- Introduction to Dart tutorial<br>
- Familiarity with basic web programming<br>"	Dart, HTML5, offline, performance	2328, 2329		3		http://www.youtube.com/watch?v=YxogQGnMA9Y																	
212	Y	Chrome	Intermediate	Dart - A Modern Web Language	"The two creators of Dart will discuss the rationale behind Dart's design and its impact on web scalability and performance.
They'll also present how Dart helps developers innovate by increasing their productivity without breaking backwards compatibility.

"	"<br>- Introduction to Dart tutorial<br>
- Familiarity with basic web programming<br>"	Dart, HTML5, offline, performance	2208, 2209		4		http://www.youtube.com/watch?v=bsGgfUreyZw&feature=plcp			tPtJd6AzU8c														
213	Y	Chrome	Intermediate	Chrome Developer Tools Evolution	"Web app development moves fast and Chrome Developer Tools is still keeping you one step ahead. 

If you know your way around the Dev Tools and would like to take your skills to a higher level, this session will kick your productivity into overdrive.  Since last year's installment, we've added a whole slew of features that empower developers to make rich web apps, so in this demo-rich session we’ll explain how to use those tools to develop and debug on mobile and desktop. We’ll take you jank hunting with the new timeline, delve into minified JavaScript via Source Maps, debug Web Workers – and much more.  Join us and learn what Chrome Developer Tools can do for you."		devtools, productivity, webapps, insight	2035, 2210		4		http://www.youtube.com/watch?v=3pxf3Ju2row&feature=plcp			3Mnz_QaB31Q														
214	Y	Chrome	Intermediate	Chrome/OS Fireside Chat 	An open forum for the Chrome/OS teams to discuss the web platform and take questions. This session will be live captioned. 		ChromeOS, Open Forum, Dory	2211		5		http://www.youtube.com/watch?v=UC9LwtA_MC8																	
215	Y	Chrome	Intermediate	Better Web App Development Through Tooling	"Building a solid webapp is a challenge for all developers, but a plethora of tools have emerged recently to assist you. From starting boilerplates, to performance tuning and build tools, you'll get a full overview of the tooling ecosystem. In this session, you'll learn which mature and valuable open source projects can save you time as well as get answers to common questions in building a webapp.
"		tooling, workflow, productivity, html5, css3	2017		4		http://www.youtube.com/watch?v=Mk-tFn2Ix6g&feature=plcp			tPtJd6AzU8c														
216	Y	Chrome	Intermediate	How to Build Apps that Love Each Other with Web Intents	Web Intents allows you to build applications that integrate with one another with an ease that has never been seen on the web before.  In this session we will show you how to connect applications using Web Intents and how to best integrate with the many actions available in Web Intents such as editing, saving and sharing.		Web Intents, Chrome apps, Web, HTML5	2036, 2195		3	http://webintents-io12.appspot.com	http://www.youtube.com/watch?v=O1YjdKh-rPg&feature=plcp																	
217	Y	Chrome	Intermediate	WebRTC: Real-time Audio/Video and P2P in HTML5	WebRTC brings webcam access, p2p, and rich audio/video communication capabilities to the browser. In this talk, we'll give an overview of the WebRTC technologies available today, show how to build WebRTC apps, and discuss the potential this technology adds to the Web Platform.		Chrome, HTML5, Webcam, Audio, Video, P2P	2212		3	https://docs.google.com/presentation/d/16vD-RApRli9W76z36hKe-B3jjS1R-J9qX4lpBq2JrHg/edit	http://www.youtube.com/watch?v=E8C8ouiXHHk																	
218	Y	Chrome	Intermediate	The History and Future of Google Web Toolkit	Follow along as we present a history of the GWT project, the exciting new features in the GWT 2.5 release, and where we plan to take GWT in the future. This session will be live captioned. 		GWT, tools	2275		5	https://docs.google.com/presentation/d/1pC9WK80-fzIs2iMQOO3Jsvfmqv2erI9xucuF3lHOE7Q/edit	http://www.youtube.com/watch?v=VOf27ez_Hvg																	
219	Y	Chrome	Advanced	High Performance HTML5	For years we built web apps that far outpaced the capabilities of the browsers they ran in. Just as the browsers were catching up HTML5 came on the scene - video and audio, canvas, SVG, app cache, localStorage, @font-face, and more. Now the browsers are racing to stay ahead of the wave that's building as developers adopt these new capabilities. Is your HTML5 app going to ride the wave or be dashed on the rocks leaving users stranded? Learn which HTML5 features to seek out and which to avoid when it comes to building fast HTML5 web apps. This session will be live captioned. 		html5, performance	2213		5		http://www.youtube.com/watch?v=6EJ801el-I8																	
220	Y	Chrome	Intermediate	Writing Secure Web Apps and Chrome Extensions	Today, a carefully developed web app can boast a high level of security, by taking advantage of several technologies: HTML5, CSP, NaCl, and the Chrome extension framework. The objective of this session is to show how these technologies allow a developer to create a web app that rivals or exceeds a desktop app in features, while remaining more secure than its desktop counterpart. This session will be live captioned. 		Chrome platform, Chrome OS, NaCl, HTML5, security	2214		5	https://docs.google.com/presentation/d/1i1zl5kGbx3zGvYKm-kUsIXX7pj2235RaWosIGNNPhf8/edit	http://www.youtube.com/watch?v=GBxv8SaX0gg																	
221	Y	Chrome	Intermediate	Turning the Web Up to 11	This session will cover the web audio capabilities for games and music.  We'll walk through the &lt;audio&gt; element and the Web Audio API, and dive deep into using the Web Audio API for game audio and building music applications.  We'll also cover how to use the Node graph structure to build audio processing chains, and how to use analysis to do interesting tricks.		web audio, owp	2215		3	http://webaudio-io2012.appspot.com/	http://www.youtube.com/watch?v=hFsCG7v9Y4c																	
222	Y	Chrome	Intermediate	Beyond Paper: Google Cloud Print and the Future of Printing	"Use Google Cloud Print's API to send documents to a printer (or anywhere else) quickly and easily. We're currently integrated with Chrome, ChromeOS, mobile Gmail/Docs, and most new printers, and that's just the start. We provide a configurable JavaScript API, an Android Intent, as well as HTTP and XMPP interfaces for sending documents and receiving them in virtually any format. Come learn how to enable printing from your web and mobile apps on any device to any printer in the world, with just a few lines of code! This session will be live captioned. 
"		Printing, Chrome, Cloud, Mobile, Push	2170		5		http://www.youtube.com/watch?v=0G9OaTzdOa0																	
225	Y	Chrome	Intermediate	New Web Tools and Advanced CSS/HTML5 Features from Adobe & Google	Innovative new features such as CSS Regions, Exclusions, Shaders, Compositing, and the Shadow DOM bring powerful capabilities to modern browsers. See demos and code and learn about the status of these new standards. Get an early look at the development workflow enabled by Adobe Shadow and learn about the open source project "Brackets", which is working to create a code editor for the web built entirely with web technologies.		CSS, HTML5	2274, 2390, 2391		4		http://www.youtube.com/watch?v=bwOhfoewMYs			3Mnz_QaB31Q														
226	Y	Chrome	Intermediate	Migrating Code from GWT to Dart	Curious to learn how to port your GWT code to Dart? In this session, we will go over Dart equivalents for various GWT libraries and idioms, techniques for interoperating with existing GWT server backends, and tricks to allow Dart code to talk to existing GWT and Javascript code.		GWT, Dart	2275		3		http://www.youtube.com/watch?v=EvACKPBo_R8&feature=plcp																	
304	Y	Chrome, Cloud Platform	Intermediate	HTML5 and App Engine: The Epic Tag Team Take on Modern Web Apps at Scale	This talk discusses the latest and greatest application patterns and toolset  for building cutting edge HTML5 applications that are backed by App Engine.  This makes it incredibly easy to write an app that spans client and server; in particular, authentication just works out of the box. This talk walks through building a fantastic cloud-based HTML5 application		APIs, Dart, HTML5, Google App Engine	2038, 2051		11	https://storage.cloud.google.com/io2012/presentations/live%20to%20website/304.pdf	http://www.youtube.com/watch?v=v9TG7OzsZqQ																	
